team,conference,bpi,pva,conf_rank,w_l,raw,raw_rank,sos,sos_rank,var,var_rank
Arkansas,SEC,75,8.9,4,22-12,62.1,59,62.9,67,17,238
Dayton,A 10,74.9,8.9,5,26-11,61,67,63.9,54,18.8,164
Arizona State,Pac-12,74.8,8.8,6,21-12,59.8,72,65,38,18.3,187
Memphis,American,74.4,8.7,5,24-10,61.4,64,63,66,18.1,195
Florida St,ACC,74.3,8.6,7,22-14,57.2,101,67,10,16.1,275
Minnesota,Big Ten,73.9,8.4,6,25-13,57.9,92,66,25,17.3,228
Clemson,ACC,73.9,8.4,8,23-13,59.8,73,64.1,49,16,276
Louisiana Tech,C-USA,73.8,8.4,1,29-8,72.4,10,51.4,137,15.8,281
Providence,Big East,73.4,8.2,3,23-12,57.3,99,66.2,22,16.5,258
BYU,WCC,73.1,8.1,2,23-12,60,71,63.2,63,18.4,179
Kansas St,Big 12,73.1,8.1,6,20-13,56.7,109,66.4,16,19.2,144
Texas,Big 12,73,8.1,7,24-11,56.8,107,66.3,19,17.6,220
Saint Joseph's,A 10,72.6,7.9,6,24-10,59.2,82,63.4,59,17.7,213
Missouri,SEC,72.5,7.8,5,23-12,56.3,111,66.2,20,15.6,288
Xavier,Big East,71.9,7.6,4,21-13,56.8,108,65.2,37,21.6,62
St. John's,Big East,71.9,7.6,5,20-13,57.9,94,64,52,17.1,236
Colorado,Pac-12,71.5,7.5,7,23-12,53.4,156,68.2,5,18.8,161
Illinois,Big Ten,70.9,7.2,7,20-15,55,131,65.9,26,18,203
Southern Miss,C-USA,70.5,7,2,29-7,68.9,19,51.6,134,18.8,160
LSU,SEC,70.4,7,6,20-14,55.7,117,64.7,43,18.8,162
Boise State,MW,70.3,7,3,21-13,61.2,65,59.1,93,15.4,291
NC State,ACC,70.2,7,9,22-14,54.4,142,65.9,28,19.6,128
California,Pac-12,70.2,6.9,8,21-14,55.5,122,64.7,41,19.7,124
Saint Mary's,WCC,70.2,6.9,3,23-12,62.1,60,58.1,98,22.3,41
Nebraska,Big Ten,70,6.9,8,19-13,53.8,152,66.2,21,20.6,92
North Dakota St,Summit,69,6.5,1,26-7,67.7,31,51.3,138,19.2,145
West Virginia,Big 12,68.8,6.4,8,17-16,52.7,162,66.1,24,19.1,146
Ole Miss,SEC,68.5,6.3,7,19-14,54.4,143,64.2,48,14,307
Indiana,Big Ten,68.5,6.3,9,17-15,55.5,123,63,65,20.2,110
